Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Suitable for furniture type (product.metafields.shopify.suitable-for-furniture-type),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
sofas-loveseats,,,,,,,,,15 yards,,,,,,,,sofas-loveseats-15,0.0,shopify,0,continue,manual,375.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,
ottomans,Ottoman Covers,"",My Store,,"","",true,Yards,2 yards,,,,,,,,Ottomans-2,0.0,shopify,0,continue,manual,50.00,,true,true,,,,,false,,,,,,,,,,,,,,,,lb,,,active
ottomans,,,,,,,,,3 yards,,,,,,,,Ottomans-3,0.0,shopify,0,continue,manual,75.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,
ottomans,,,,,,,,,4 yards,,,,,,,,Ottomans-4,0.0,shopify,0,continue,manual,100.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,
ottomans,,,,,,,,,5 yards,,,,,,,,Ottomans-5,0.0,shopify,0,continue,manual,125.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,
ottomans,,,,,,,,,6 yards,,,,,,,,Ottomans-6,0.0,shopify,0,continue,manual,150.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,
ottomans,,,,,,,,,7 yards,,,,,,,,Ottomans-7,0.0,shopify,0,continue,manual,175.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,
ottomans,,,,,,,,,8 yards,,,,,,,,Ottomans-8,0.0,shopify,0,continue,manual,200.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,
ottomans,,,,,,,,,9 yards,,,,,,,,Ottomans-9,0.0,shopify,0,continue,manual,225.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,
ottomans,,,,,,,,,10 yards,,,,,,,,Ottomans-10,0.0,shopify,0,continue,manual,250.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,
ottomans,,,,,,,,,11 yards,,,,,,,,Ottomans-11,0.0,shopify,0,continue,manual,275.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,
ottomans,,,,,,,,,12 yards,,,,,,,,Ottomans-12,0.0,shopify,0,continue,manual,300.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,
ottomans,,,,,,,,,13 yards,,,,,,,,Ottomans-13,0.0,shopify,0,continue,manual,325.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,
ottomans,,,,,,,,,14 yards,,,,,,,,Ottomans-14,0.0,shopify,0,continue,manual,350.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,
ottomans,,,,,,,,,15 yards,,,,,,,,Ottomans-15,0.0,shopify,0,continue,manual,375.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,
chairs-recliners,Chairs/Recliners Covers,"",My Store,,"","",true,Yards,2 yards,,,,,,,,chairs/recliners-2,0.0,shopify,0,continue,manual,50.00,,true,true,,,,,false,,,,,,,,,,,,,,,,lb,,,active
chairs-recliners,,,,,,,,,3 yards,,,,,,,,chairs/recliners-3,0.0,shopify,0,continue,manual,75.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,
chairs-recliners,,,,,,,,,4 yards,,,,,,,,chairs/recliners-4,0.0,shopify,0,continue,manual,100.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,
chairs-recliners,,,,,,,,,5 yards,,,,,,,,chairs/recliners-5,0.0,shopify,0,continue,manual,125.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,
chairs-recliners,,,,,,,,,6 yards,,,,,,,,chairs/recliners-6,0.0,shopify,0,continue,manual,150.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,
chairs-recliners,,,,,,,,,7 yards,,,,,,,,chairs/recliners-7,0.0,shopify,0,continue,manual,175.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,
chairs-recliners,,,,,,,,,8 yards,,,,,,,,chairs/recliners-8,0.0,shopify,0,continue,manual,200.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,
chairs-recliners,,,,,,,,,9 yards,,,,,,,,chairs/recliners-9,0.0,shopify,0,continue,manual,225.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,
chairs-recliners,,,,,,,,,10 yards,,,,,,,,chairs/recliners-10,0.0,shopify,0,continue,manual,250.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,
chairs-recliners,,,,,,,,,11 yards,,,,,,,,chairs/recliners-11,0.0,shopify,0,continue,manual,275.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,
chairs-recliners,,,,,,,,,12 yards,,,,,,,,chairs/recliners-12,0.0,shopify,0,continue,manual,0.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,
chairs-recliners,,,,,,,,,13 yards,,,,,,,,chairs/recliners-13,0.0,shopify,0,continue,manual,325.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,
chairs-recliners,,,,,,,,,14 yards,,,,,,,,chairs/recliners-14,0.0,shopify,0,continue,manual,350.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,
chairs-recliners,,,,,,,,,15 yards,,,,,,,,chairs/recliners-15,0.0,shopify,0,continue,manual,375.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,
table-sets,Table Set Covers,"",My Store,,"","",true,Yards,2 yards,,,,,,,,tablesets-2,0.0,shopify,0,continue,manual,50.00,,true,true,,,,,false,,,,,,,,,,,,,,,,lb,,,active
table-sets,,,,,,,,,3 yards,,,,,,,,tablesets-3,0.0,shopify,0,continue,manual,75.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,
table-sets,,,,,,,,,4 yards,,,,,,,,tablesets-4,0.0,shopify,0,continue,manual,100.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,
table-sets,,,,,,,,,5 yards,,,,,,,,tablesets-5,0.0,shopify,0,continue,manual,125.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,
table-sets,,,,,,,,,6 yards,,,,,,,,tablesets-6,0.0,shopify,0,continue,manual,150.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,
table-sets,,,,,,,,,7 yards,,,,,,,,tablesets-7,0.0,shopify,0,continue,manual,175.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,
table-sets,,,,,,,,,8 yards,,,,,,,,tablesets-8,0.0,shopify,0,continue,manual,200.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,
table-sets,,,,,,,,,9 yards,,,,,,,,tablesets-9,0.0,shopify,0,continue,manual,225.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,
table-sets,,,,,,,,,10 yards,,,,,,,,tablesets-10,0.0,shopify,0,continue,manual,250.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,
table-sets,,,,,,,,,11 yards,,,,,,,,tablesets-11,0.0,shopify,0,continue,manual,275.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,
table-sets,,,,,,,,,12 yards,,,,,,,,tablesets-12,0.0,shopify,0,continue,manual,300.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,
table-sets,,,,,,,,,13 yards,,,,,,,,tablesets-13,0.0,shopify,0,continue,manual,325.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,
table-sets,,,,,,,,,14 yards,,,,,,,,tablesets-14,0.0,shopify,0,continue,manual,350.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,
table-sets,,,,,,,,,15 yards,,,,,,,,tablesets-15,0.0,shopify,0,continue,manual,375.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,
tables,Table Covers,"",My Store,,"","",true,Yards,2 yards,,,,,,,,tables-2,0.0,shopify,0,continue,manual,50.00,,true,true,,,,,false,,,,,,,,,,,,,,,,lb,,,active
tables,,,,,,,,,3 yards,,,,,,,,tables-3,0.0,shopify,0,continue,manual,75.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,
tables,,,,,,,,,4 yards,,,,,,,,tables-4,0.0,shopify,0,continue,manual,100.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,
tables,,,,,,,,,5 yards,,,,,,,,tables-5,0.0,shopify,0,continue,manual,125.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,
tables,,,,,,,,,6 yards,,,,,,,,tables-6,0.0,shopify,0,continue,manual,150.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,
tables,,,,,,,,,7 yards,,,,,,,,tables-7,0.0,shopify,0,continue,manual,175.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,
tables,,,,,,,,,8 yards,,,,,,,,tables-8,0.0,shopify,0,continue,manual,200.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,
tables,,,,,,,,,9 yards,,,,,,,,tables-9,0.0,shopify,0,continue,manual,225.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,
tables,,,,,,,,,10 yards,,,,,,,,tables-10,0.0,shopify,0,continue,manual,250.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,
tables,,,,,,,,,11 yards,,,,,,,,tables-11,0.0,shopify,0,continue,manual,275.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,
tables,,,,,,,,,12 yards,,,,,,,,tables-12,0.0,shopify,0,continue,manual,300.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,
tables,,,,,,,,,13 yards,,,,,,,,tables-13,0.0,shopify,0,continue,manual,325.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,
tables,,,,,,,,,14 yards,,,,,,,,tables-14,0.0,shopify,0,continue,manual,350.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,
tables,,,,,,,,,15 yards,,,,,,,,tables-15,0.0,shopify,0,continue,manual,375.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,
